ID;Date;global_id;AdmArea;District;Longitude_WGS84;Latitude_WGS84;Location;Results;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
Код;Дата выезда;global_id;Административный округ;Район;Долгота в WGS-84;Широта в WGS-84;Описание местоположения контрольной точки;Результаты выезда;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
146;01.03.2016;272399519;Северо-Восточный административный округ;район Отрадное;37.613000;55.856548;Отрадная улица, дом 11;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
147;01.03.2016;272399520;Северо-Восточный административный округ;район Ростокино;37.651133;55.839638;улица Докукина, дом 11, строение 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
148;01.03.2016;272399521;Северный административный округ;Бескудниковский район;37.559487;55.866116;Бескудниковский бульвар, дом 20, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
150;04.03.2016;272399522;Северо-Восточный административный округ;район Ростокино;37.652283;55.837950;улица Докукина, дом 7;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
151;04.03.2016;272399523;Северо-Восточный административный округ;район Отрадное;37.613000;55.856548;Отрадная улица, дом 11;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
152;28.03.2016;272399527;Северо-Западный административный округ;район Митино;37.342023;55.853602;улица Барышиха, владение 41, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
154;25.03.2016;272399537;Юго-Восточный административный округ;район Марьино;37.752975;55.658129;Мячковский бульвар, дом 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
155;25.03.2016;272399542;Юго-Восточный административный округ;район Текстильщики;37.740076;55.714987;Саратовская улица, дом 16;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
156;30.03.2016;272399548;Юго-Восточный административный округ;район Люблино;37.738513;55.686305;Люблинская улица, дом 59;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
158;30.03.2016;272399554;Южный административный округ;район Нагатино-Садовники;37.644881;55.679585;Нагатинская улица, дом 19;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
159;30.03.2016;272399556;Юго-Западный административный округ;район Черёмушки;37.561688;55.666086;Новочеремушкинская улица, дом 60;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
160;30.03.2016;272399557;Юго-Западный административный округ;район Черёмушки;37.556056;55.651831;улица Обручева, дом 39;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
161;29.03.2016;272399558;Новомосковский административный округ;поселение Десеновское;37.322521;55.502523;1-я Ватутинская улица, дом 8, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
162;29.03.2016;272399559;Троицкий административный округ;поселение Троицк;37.285887;55.464871;г. Троицк, город Троицк, Физическая улица, дом 20;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
163;30.03.2016;272399560;Троицкий административный округ;поселение Краснопахорское;37.287010;55.396800;СНТ «Текстильщик»;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
164;31.03.2016;272399561;Западный административный округ;район Тропарёво-Никулино;37.482026;55.655478;проспект Вернадского, дом 125;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
165;31.03.2016;272399562;Новомосковский административный округ;поселение Московский;37.387780;55.628464;СНТ «Мир», дом 307;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
168;09.03.2016;272399563;Северо-Восточный административный округ;Алтуфьевский район;37.584972;55.872718;Алтуфьевское шоссе, дом 51а;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых среднесуточных нормативов.;;;;;;;;;;
169;10.03.2016;272399564;Северо-Восточный административный округ;район Южное Медведково;37.624723;55.878682;улица Молодцова, дом 29, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
170;10.03.2016;272399565;Северо-Восточный административный округ;район Отрадное;37.618650;55.854133;Отрадная улица, дом 20;По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.;;;;;;;;;;
171;23.03.2016;272399566;Северо-Восточный административный округ;Лосиноостровский район;37.690444;55.885999;Стартовая улица, дом 31;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
172;23.03.2016;272399567;Северо-Восточный административный округ;Бутырский район;37.586041;55.794679;Бутырская улица, дом 4;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
173;24.03.2016;272399568;Северо-Восточный административный округ;Ярославский район;37.689482;55.862095;Хибинский проезд, дом 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых среднесуточных нормативов.;;;;;;;;;;
174;28.03.2016;272399569;Северный административный округ;район Аэропорт;37.514575;55.806423;Ленинградский проспект, дом 76, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
175;28.03.2016;272399570;Северо-Восточный административный округ;Алексеевский район;37.644279;55.809297;Новоалексеевская улица, дом 11;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
